,Year,65–69,65–69_rate,70–74,70–74_rate,75–79,75–79_rate,80–84,80–84_rate,85–89,85–89_rate,90–95,90–95_rate,95+,95+_rate,Total,Gender
0,1999–00,1864,563.3836872616047,2352,796.6130397967823,2974,1386.0860081748315,2770,2407.042118892239,2656,4836.125273124545,912,5697.507340538515,215,5689.33580312252,51328,Male
1,2000–01,1768,533.1499876362277,2365,789.4042918225726,2950,1328.7929155067882,3065,2495.989315699895,2684,4648.262962834679,1218,7073.581508798419,279,6577.0862800565765,51435,Male
2,2001–02,1994,591.0564912467913,2415,801.0959921980216,3186,1393.9264010360382,3249,2469.6331655999634,2677,4445.809944531172,1322,7207.108978902034,322,7253.886010362694,51861,Male
3,2002–03,1875,541.8307811899471,2446,814.4835554904382,3162,1348.688419705694,3535,2527.7986342021522,2893,4658.240077288463,1402,7213.0472809589955,339,7803.867403314916,51954,Male
4,2003–04,1903,534.6857351577646,2537,849.9959795223673,3367,1401.1243950446722,3909,2640.1102240953114,3137,4942.025332409099,1572,7618.493748182612,359,8232.056867690897,54651,Male
5,2004–05,2129,580.0568341266317,2572,864.8575944046537,3614,1474.4099708300187,4281,2757.772137547187,3327,4989.7265923781815,1651,7503.522246966322,464,10375.67084078712,56864,Male
6,2005–06,2321,614.8539821133387,2747,919.679535037882,3821,1536.982510337726,4626,2866.9703448916985,3659,5086.607167681486,1867,8003.944096716111,459,9915.748541801684,58357,Male
7,2006–07,2563,657.8930481008889,2734,898.375760284168,3911,1560.2372869185015,5133,3067.9393464864834,4255,5479.081626083261,2196,8951.208576203482,570,11625.535386498063,62103,Male
8,2007–08,2722,673.7406964627376,2979,951.7967199915652,4197,1669.1921300991494,5195,3000.566035556274,4522,5425.054586462557,2270,8896.378742749646,596,11322.188449848023,64339,Male
9,2008–09,2797,664.9343980525053,3177,981.6068443672698,4162,1651.331738342082,5500,3081.04262482424,4900,5520.815728691341,2385,9061.894448877238,649,11585.14816137094,67333,Male
10,2009–10,3134,710.963907352374,3367,999.5962426818985,4366,1724.6623556691459,5826,3172.3559616442235,5548,5912.127961125734,2633,9399.207510798557,723,12167.620329855268,70998,Male
11,2010–11,3480,752.0308073310038,3840,1095.0684845563976,4622,1804.8553811790525,6542,3471.4410035446695,6330,6421.962503043584,3268,10716.510903426792,910,14527.458492975735,75797,Male
12,2011–12,3623,737.6670338373957,3995,1096.9940441049268,4887,1859.4192311204456,6706,3499.1964267078542,6597,6399.324855222187,3668,11021.965804260946,946,14305.156509904731,78381,Male
13,2012–13,4030,771.7453125568516,4147,1099.3584645564922,5170,1898.0069091856926,6736,3479.231015567699,6921,6422.60579064588,3810,10496.446085183758,921,13147.751605995716,77857,Male
14,2013–14,4196,769.6935900446114,4537,1156.837247252607,5383,1898.3368833843506,6872,3511.694576598583,7403,6576.060404174995,4257,10812.25236208473,1034,13843.888070692195,81594,Male
15,2014–15,4611,820.07448431881,4914,1197.9522184300342,6034,2038.4584200427016,7511,3800.6709745323164,8115,6921.226801310043,4637,10890.60077974541,1214,14338.018188260305,86500,Male
16,1999–00,2994,871.7020025271789,4775,1440.691773423687,7294,2581.371234025686,8461,4563.621555439291,9161,8065.254520803621,3555,8157.973242765679,1025,8225.00401219708,61419,Female
17,2000–01,2958,860.5541526538117,4746,1429.3243385685676,7251,2517.9094163770023,8794,4518.548967218168,8803,7457.451945477496,4686,10034.905882604877,1373,10292.353823088455,62562,Female
18,2001–02,2967,851.8102762713276,4702,1419.9260744570338,7453,2560.8251815048843,9566,4667.9126144897555,9212,7579.959022800766,5167,10445.98091541323,1529,10915.191319246145,64274,Female
19,2002–03,3003,842.3467899378408,4675,1425.9569925270703,7571,2580.3307294861834,9835,4594.313048596481,9212,7439.050979948803,5343,10310.690852952528,1667,11520.387007601934,64886,Female
20,2003–04,3188,870.4413093752646,4777,1472.1880653223743,7820,2645.1357577028584,10458,4687.542021138313,9914,7922.26368656156,5779,10641.94166175604,1790,11967.640569632948,68844,Female
21,2004–05,3455,917.0853937893013,4600,1426.228339157099,7744,2611.284769641117,11022,4780.969814217985,9757,7620.989158621551,6113,10655.023356341073,1979,12618.759165975898,70000,Female
22,2005–06,3596,930.3889988486566,4768,1476.4901154436902,7827,2638.445046721411,11473,4875.737331497441,10618,7922.934574976121,6832,11382.493085868515,2208,13368.854444175346,74271,Female
23,2006–07,3882,977.0880159475262,4954,1510.9969712959376,8211,2769.037766963771,12077,5056.353831725616,11585,8186.874147568672,7348,11880.739878411589,2369,13564.271399942743,78738,Female
24,2007–08,4054,989.0530804831576,5296,1575.8387264747453,8309,2808.2140853448336,11992,4942.566161226904,12207,8177.9629790911595,7592,12049.072354742973,2540,13775.897602776873,81442,Female
25,2008–09,4292,1007.821654076723,5561,1609.8542417531517,8440,2858.981741810914,12424,5048.026134018106,13522,8618.832422923213,7980,12557.239295661615,2821,14630.983870131216,85853,Female
26,2009–10,4649,1041.6316580741577,5972,1678.6597706318869,8689,2940.0817497699095,13029,5229.400880597554,14583,8900.865489080677,8246,12600.663192799622,3003,14765.463664077097,90149,Female
27,2010–11,5103,1089.0326325651276,6412,1753.7333843881627,9005,3021.9337691450664,13863,5499.946440686035,15894,9396.94927279177,9411,13551.73158614731,3472,16385.860588040967,96821,Female
28,2011–12,5477,1100.2432708784067,6836,1811.4799494396761,9209,3041.2813738441214,14388,5680.938768419224,16315,9437.181860249884,10119,13629.017051423645,3625,16604.06742396482,100883,Female
29,2012–13,5897,1112.2008260877765,6797,1736.182951843082,9353,3025.2943459697244,13987,5529.682459358593,16702,9483.576072452659,10575,13378.286061280773,3658,16196.59065751605,100920,Female
30,2013–14,6353,1145.5887709579813,7105,1740.5555569165342,9752,3071.3799793393637,14227,5625.165568150816,16770,9360.452784692841,11274,13429.262307774772,3862,16605.753106591565,105405,Female
31,2014–15,7244,1262.8217196968112,7993,1866.969380580996,10397,3178.4220695052463,14408,5690.565620420947,17639,9712.46393410127,12360,13946.875493669744,4145,16819.509819834442,112075,Female
32,1999–00,4858,720.4251961964871,7127,1137.2485191993464,10268,2065.480644668131,11231,3737.6863684771033,11817,7012.806665638019,4467,7496.979054779807,1240,7634.997844960285,112747,Persons
33,2000–01,4726,699.7894412641816,7111,1125.8030707462185,10201,2000.2627538565011,11859,3736.0947901341137,11487,6534.68726000512,5904,9237.123724888917,1652,9395.973154362417,113998,Persons
34,2001–02,4961,723.5163976146273,7117,1125.028848920181,10639,2047.528685416915,12815,3808.445446953689,11889,6541.582987152329,6489,9569.808426858584,1851,10034.15189461701,116136,Persons
35,2002–03,4878,694.3248409728518,7121,1133.6229609193792,10733,2033.2965813034468,13370,3777.7539176184046,12105,6510.234594327141,6745,9465.736699552324,2006,10662.272775592643,116844,Persons
36,2003–04,5091,704.9674518563035,7314,1174.0815949787705,11187,2087.3449464869464,14367,3870.7956590617628,13051,6919.312681253545,7351,9809.442472443887,2149,11124.339993788177,123495,Persons
37,2004–05,5584,750.7697272006131,7172,1156.9253402460645,11358,2096.833150566577,15303,3966.840603152631,13084,6719.909606841118,7765,9782.677165354331,2443,12121.061771272636,126866,Persons
38,2005–06,5917,774.4835358439149,7515,1208.939881181238,11648,2136.2442595771527,16099,4058.608945124703,14277,6932.265112891478,8699,10436.96309449537,2667,12612.910853629699,132629,Persons
39,2006–07,6445,819.057543716958,7688,1216.090099495405,12124,2215.659471194965,17210,4237.256837839368,15840,7227.39841033737,9544,11048.725992984568,2939,13139.306151645209,140843,Persons
40,2007–08,6776,832.5347094237621,8275,1274.916725983034,12506,2284.9479555873063,17187,4133.865369767727,16729,7191.526130486929,9862,11140.355831685965,3136,13230.9509746013,145781,Persons
41,2008–09,7089,837.4364450828813,8738,1305.9567650294132,12602,2302.790868507754,17924,4221.116415112558,18422,7499.470778850695,10365,11533.582587795434,3470,13945.263834746613,153186,Persons
42,2009–10,7783,877.3244928302422,9339,1348.4051308410676,13055,2379.3164408852404,18855,4356.535843511291,20131,7812.433298794236,10879,11641.021251096796,3726,14178.082191780823,161147,Persons
43,2010–11,8583,921.5872388675095,10252,1431.2778608455037,13627,2459.4143392140054,20405,4632.141454544629,22224,8301.582321036354,12679,12686.611967180308,4382,15961.825665683169,172620,Persons
44,2011–12,9100,920.175298450263,10831,1460.5932454810747,14096,2492.114903186569,21094,4741.162297263279,22912,8302.38178925894,13787,12822.134387351778,4571,16069.608015468448,179264,Persons
45,2012–13,9927,943.2698310438112,10944,1423.6819819151801,14523,2497.287426210255,20723,4640.68973239279,23623,8321.620431527961,14385,12471.389929255098,4579,15474.822575194323,178780,Persons
46,2013–14,10549,959.2494048452597,11642,1454.5354594555424,15135,2517.9844146164546,21099,4703.236247397494,24173,8286.00124086065,15531,12593.757855387883,4896,15934.387814879905,187002,Persons
47,2014–15,11855,1043.6639780544447,12907,1539.6140169647404,16431,2636.8917704455,21919,4862.093901254176,25754,8617.412835441342,16997,12955.030487804877,5359,16184.95364078403,198576,Persons
